Location,Bed,Bath,To-let From,Rent,Title,Region
"Uttarkhan, Dhaka",2,2,August Rent ,8000,"Family Flat Rent Uttarkhan, Dhaka",Dhaka
"Uttara, Dhaka",3,3,September Rent ,22000,"Family Flat Rent Uttara, Dhaka",Dhaka
"Naddapara, Daskhinkhan",1,1,August Rent ,2800,"Bachelor Seat Rent Naddapara, Daskhinkhan",Dhaka
"Ashkona, Airport",N/A,1,September Rent ,5500,"Sublet Room Rent Ashkona, Airport Room: 1, Bath: 1 To-let from:
                                September Rent : 5500 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",1,1,August Rent ,2720,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Elephant Road, Dhanmondi",N/A,1,August Rent ,8500,"Sublet Room Rent Elephant Road, Dhanmondi Room: 1, Bath: 1 To-let from:
                                August Rent : 8500 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",1,1,August Rent ,2167,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Daskhinkhan, Dhaka",3,3,August Rent ,16000,"Family Flat Rent Daskhinkhan, Dhaka",Dhaka
"Ashkona, Airport",1,1,August Rent ,3500,"Bachelor Room Rent Ashkona, Airport",Dhaka
"Sector 12, Uttara",1,1,August Rent ,7500,"Bachelor Room Rent Sector 12, Uttara",Dhaka
"Aainusbag, Daskhinkhan",3,2,August Rent ,12000,"Family Flat Rent Aainusbag, Daskhinkhan",Dhaka
"Sector 12, Uttara",N/A,1,August Rent ,10000,"Sublet Room Rent Sector 12, Uttara Room: 1, Bath: 1 To-let from:
                                August Rent : 10000 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",1,1,September Rent ,2000,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Mohammadpur, Dhaka",2,1,September Rent ,8000,"Family House Rent Mohammadpur, Dhaka",Dhaka
"Azimpur, Lalbag",1,1,September Rent ,4200,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Ashkona, Airport",2,1,September Rent ,7000,"Family Flat Rent Ashkona, Airport",Dhaka
"Naddapara, Daskhinkhan",2,2,September Rent ,8500,"Family Flat Rent Naddapara, Daskhinkhan",Dhaka
"Azimpur, Lalbag",1,1,September Rent ,5400,"Bachelor Room Rent Azimpur, Lalbag",Dhaka
"Azimpur, Lalbag",N/A,1,September Rent ,6000,"Sublet Room Rent Azimpur, Lalbag Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",N/A,1,September Rent ,7500,"Sublet Room Rent Azimpur, Lalbag Room: 1, Bath: 1 To-let from:
                                September Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",1,1,August Rent ,2570,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Lalbag, Dhaka",1,1,September Rent ,6500,"Family House Rent Lalbag, Dhaka",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,4600,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Sector 10, Uttara",1,1,August Rent ,2900,"Bachelor Seat Rent Sector 10, Uttara",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,3050,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,2600,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,October Rent ,3750,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Vatara, Dhaka",1,1,September Rent ,7500,"Bachelor Room Rent Vatara, Dhaka",Dhaka
"Nikunja 2, Khilkhet",2,2,September Rent ,13000,"Family Flat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,8600,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,4000,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Uttarpara, Khilkhet",1,1,September Rent ,6500,"Bachelor Room Rent Uttarpara, Khilkhet",Dhaka
"Azimpur, Lalbag",1,1,August Rent ,3300,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Bosila, Mohammadpur",2,1,September Rent ,9500,"Family House Rent Bosila, Mohammadpur",Dhaka
"Azimpur, Lalbag",N/A,1,September Rent ,8000,"Sublet Room Rent Azimpur, Lalbag Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",N/A,1,September Rent ,8000,"Sublet Room Rent Azimpur, Lalbag Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Azimpur, Lalbag",1,1,August Rent ,2500,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,8500,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,2900,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,2400,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Uttarpara, Khilkhet",N/A,1,September Rent ,8000,"Sublet Room Rent Uttarpara, Khilkhet Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Khilkhet, Dhaka",1,1,September Rent ,2450,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Noyanagor, Khilkhet",1,1,September Rent ,3500,"Bachelor Seat Rent Noyanagor, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,8500,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Namapara, Khilkhet",2,2,August Rent ,12000,"Family House Rent Namapara, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,8500,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Airport, Dhaka",N/A,1,September Rent ,5800,"Sublet Room Rent Airport, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 5800 BDT Save Property Add to Compare",Dhaka
"Kawlar, Daskhinkhan",1,1,September Rent ,7500,"Family House Rent Kawlar, Daskhinkhan",Dhaka
"Moddopara, Khilkhet",1,1,September Rent ,2500,"Bachelor Seat Rent Moddopara, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,4500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"West Rampura, Rampura",3,2,August Rent ,17000,"Family Flat Rent West Rampura, Rampura",Dhaka
"Malibag, Shahjahanpur",1,1,September Rent ,7800,"Bachelor Room Rent Malibag, Shahjahanpur",Dhaka
"Malibag, Shahjahanpur",1,1,September Rent ,2300,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka
"Bou Bazar, Rampura",N/A,1,September Rent ,6500,"Sublet Room Rent Bou Bazar, Rampura Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Shantibag, Shahjahanpur",1,1,September Rent ,4250,"Bachelor Seat Rent Shantibag, Shahjahanpur",Dhaka
"Shantibag, Shahjahanpur",1,1,September Rent ,7500,"Bachelor Room Rent Shantibag, Shahjahanpur",Dhaka
"Malibag, Shahjahanpur",2,2,September Rent ,16500,"Family Flat Rent Malibag, Shahjahanpur",Dhaka
"Malibag, Shahjahanpur",1,1,August Rent ,3000,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka
"Azimpur, Lalbag",1,1,October Rent ,2200,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka
"Modhubag, Rampura",N/A,1,September Rent ,10500,"Sublet Room Rent Modhubag, Rampura Room: 1, Bath: 1 To-let from:
                                September Rent : 10500 BDT Save Property Add to Compare",Dhaka
"Moghbazar, Ramna",1,1,September Rent ,2835,"Bachelor Seat Rent Moghbazar, Ramna",Dhaka
"Moghbazar, Ramna",1,1,August Rent ,12500,"Bachelor Room Rent Moghbazar, Ramna",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,3500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",N/A,1,September Rent ,7500,"Sublet Room Rent Nikunja 2, Khilkhet Room: 1, Bath: 1 To-let from:
                                September Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,4500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",1,1,September Rent ,3300,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Nikunja 2, Khilkhet",1,1,August Rent ,4100,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",3,3,September Rent ,17000,"Family House Rent Khilkhet, Dhaka",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,2500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,August Rent ,2700,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,August Rent ,2500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",1,1,September Rent ,7750,"Bachelor Room Rent Khilkhet, Dhaka",Dhaka
"Nikunja 2, Khilkhet",1,1,August Rent ,11000,"Family Flat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,6050,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,2800,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,10000,"Bachelor Room Rent Nikunja 2, Khilkhet",Dhaka
"Noyanagor, Khilkhet",3,2,October Rent ,13000,"Family Flat Rent Noyanagor, Khilkhet",Dhaka
"Khilkhet, Dhaka",N/A,1,September Rent ,8000,"Sublet Room Rent Khilkhet, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Nikunja 2, Khilkhet",1,1,August Rent ,3400,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Khilkhet, Dhaka",1,1,August Rent ,3200,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,3500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Nikunja 2, Khilkhet",1,1,September Rent ,3500,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka
"Uttarkhan, Dhaka",2,1,September Rent ,8000,"Family Flat Rent Uttarkhan, Dhaka",Dhaka
"Jurain, Shyampur",3,2,August Rent ,15000,"Family Flat Rent Jurain, Shyampur",Dhaka
"Shonir Akhra, Jatrabari",3,3,September Rent ,15000,"Family Flat Rent Shonir Akhra, Jatrabari",Dhaka
"Mir-Hazirbag, Jatrabari",1,1,September Rent ,2013,"Bachelor Seat Rent Mir-Hazirbag, Jatrabari",Dhaka
"Shonir Akhra, Jatrabari",1,1,August Rent ,3250,"Bachelor Seat Rent Shonir Akhra, Jatrabari",Dhaka
"Kajla, Jatrabari",1,1,August Rent ,1850,"Bachelor Seat Rent Kajla, Jatrabari",Dhaka
"Rayerbag, Jatrabari",1,1,August Rent ,3500,"Bachelor House Rent Rayerbag, Jatrabari",Dhaka
"Dania, Jatrabari",2,2,September Rent ,9000,"Family Flat Rent Dania, Jatrabari",Dhaka
"Dania, Jatrabari",1,1,August Rent ,3000,"Bachelor Seat Rent Dania, Jatrabari",Dhaka
"Rayerbag, Jatrabari",2,2,September Rent ,12000,"Family Flat Rent Rayerbag, Jatrabari",Dhaka
"Jatrabari, Dhaka",1,1,August Rent ,1600,"Bachelor Seat Rent Jatrabari, Dhaka",Dhaka
"Dolairpar, Jatrabari",2,2,September Rent ,9000,"Family Flat Rent Dolairpar, Jatrabari",Dhaka
"Jannatbag, Mugda",N/A,1,September Rent ,4900,"Sublet Room Rent Jannatbag, Mugda Room: 1, Bath: 1 To-let from:
                                September Rent : 4900 BDT Save Property Add to Compare",Dhaka
"Dogair, Demra",2,1,September Rent ,6500,"Family House Rent Dogair, Demra",Dhaka
"Mugda, Dhaka",3,2,September Rent ,18000,"Family Flat Rent Mugda, Dhaka",Dhaka
"Sarulia, Demra",N/A,1,September Rent ,3000,"Sublet Room Rent Sarulia, Demra Room: 1, Bath: 1 To-let from:
                                September Rent : 3000 BDT Save Property Add to Compare",Dhaka
"Shonir Akhra, Jatrabari",2,2,September Rent ,7000,"Family House Rent Shonir Akhra, Jatrabari",Dhaka
"Shonir Akhra, Jatrabari",1,1,August Rent ,5200,"Bachelor Room Rent Shonir Akhra, Jatrabari",Dhaka
"Shonir Akhra, Jatrabari",2,2,September Rent ,12000,"Family Flat Rent Shonir Akhra, Jatrabari",Dhaka
"Ashkona, Airport",3,2,August Rent ,16000,"Family Flat Rent Ashkona, Airport",Dhaka
"Moghbazar, Ramna",3,4,October Rent ,30000,"Family Apartment Rent Moghbazar, Ramna",Dhaka
"Shantibag, Shahjahanpur",1,1,August Rent ,3000,"Bachelor Seat Rent Shantibag, Shahjahanpur",Dhaka
"Manda, Mugda",3,3,September Rent ,18000,"Family Flat Rent Manda, Mugda",Dhaka
"Chankharpul, Bangshal",1,1,September Rent ,3500,"Bachelor Seat Rent Chankharpul, Bangshal",Dhaka
"Badda, Dhaka",N/A,1,October Rent ,6250,"Sublet Room Rent Badda, Dhaka Room: 1, Bath: 1 To-let from:
                                October Rent : 6250 BDT Save Property Add to Compare",Dhaka
"Natun Bazar, Vatara",N/A,1,August Rent ,8000,"Sublet Room Rent Natun Bazar, Vatara Room: 1, Bath: 1 To-let from:
                                August Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Malibag, Shahjahanpur",1,1,September Rent ,9000,"Bachelor Room Rent Malibag, Shahjahanpur",Dhaka
"Nayatola, Ramna",1,1,August Rent ,2700,"Bachelor Seat Rent Nayatola, Ramna",Dhaka
"Siddheswari, Shahjahanpur",1,1,September Rent ,4200,"Bachelor Seat Rent Siddheswari, Shahjahanpur",Dhaka
"Mouchak, Shahjahanpur",1,1,August Rent ,3400,"Bachelor Seat Rent Mouchak, Shahjahanpur",Dhaka
"Keraniganj, Dhaka",N/A,1,September Rent ,3000,"Sublet Room Rent Keraniganj, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 3000 BDT Save Property Add to Compare",Dhaka
"Mugda, Dhaka",2,1,September Rent ,8000,"Bachelor House Rent Mugda, Dhaka",Dhaka
"Gopibag, Motijheel",2,2,October Rent ,16000,"Family Flat Rent Gopibag, Motijheel",Dhaka
"Gopibag, Motijheel",N/A,1,August Rent ,5500,"Sublet Room Rent Gopibag, Motijheel Room: 1, Bath: 1 To-let from:
                                August Rent : 5500 BDT Save Property Add to Compare",Dhaka
"Shantibag, Shahjahanpur",1,1,August Rent ,2000,"Bachelor Seat Rent Shantibag, Shahjahanpur",Dhaka
"Manda, Mugda",3,3,September Rent ,18000,"Family Flat Rent Manda, Mugda",Dhaka
"Arambag, Motijheel",1,1,August Rent ,2000,"Bachelor Seat Rent Arambag, Motijheel",Dhaka
"Gulbagh, Shahjahanpur",1,1,September Rent ,2500,"Bachelor Seat Rent Gulbagh, Shahjahanpur",Dhaka
"West Shewrapara, Mirpur",1,1,August Rent ,7500,"Bachelor Room Rent West Shewrapara, Mirpur",Dhaka
"Bashundhara R.A, Vatara",1,1,August Rent ,8500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,12500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,5500,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,5675,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,13500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Keraniganj, Dhaka",3,2,October Rent ,8500,"Family Flat Rent Keraniganj, Dhaka",Dhaka
"Ati, Keraniganj",1,1,September Rent ,5000,"Family House Rent Ati, Keraniganj",Dhaka
"Mohammadia Housing Society, Mohammadpur",1,1,September Rent ,7000,"Bachelor Room Rent Mohammadia Housing Society, Mohammadpur",Dhaka
"Mohammadpur, Dhaka",1,1,August Rent ,3500,"Bachelor Room Rent Mohammadpur, Dhaka",Dhaka
"Kuril, Vatara",1,1,August Rent ,2500,"Bachelor Seat Rent Kuril, Vatara",Dhaka
"Kuril, Vatara",1,1,September Rent ,6000,"Bachelor Seat Rent Kuril, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,October Rent ,12000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,6500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,15000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,August Rent ,7000,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,9000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,August Rent ,12500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,9000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",N/A,1,September Rent ,7500,"Sublet Room Rent Bashundhara R.A, Vatara Room: 1, Bath: 1 To-let from:
                                September Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,9000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"East Rampura, Rampura",1,1,September Rent ,3250,"Bachelor Seat Rent East Rampura, Rampura",Dhaka
"Savar, Dhaka",1,1,September Rent ,2500,"Bachelor Seat Rent Savar, Dhaka",Dhaka
"Savar, Dhaka",2,1,August Rent ,6500,"Family Flat Rent Savar, Dhaka",Dhaka
"Kuturia, Savar",3,3,August Rent ,18000,"Family Flat Rent Kuturia, Savar",Dhaka
"Savar, Dhaka",1,1,August Rent ,2700,"Bachelor Seat Rent Savar, Dhaka",Dhaka
"Savar, Dhaka",2,1,August Rent ,5500,"Family Flat Rent Savar, Dhaka",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,12500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,October Rent ,13000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,September Rent ,7000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Bashundhara R.A, Vatara",1,1,August Rent ,13500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka
"Jatrabari, Dhaka",1,1,August Rent ,2000,"Bachelor Seat Rent Jatrabari, Dhaka",Dhaka
"Shahjadpur, Gulshan",1,1,September Rent ,4000,"Bachelor Room Rent Shahjadpur, Gulshan",Dhaka
"North Badda, Badda",N/A,1,September Rent ,6500,"Sublet Room Rent North Badda, Badda Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Badda DIT Project, Badda",1,1,September Rent ,9000,"Family Flat Rent Badda DIT Project, Badda",Dhaka
"Rampura, Dhaka",N/A,1,September Rent ,7500,"Sublet Room Rent Rampura, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Banasree, Rampura",N/A,1,September Rent ,7500,"Sublet Room Rent Banasree, Rampura Room: 1, Bath: 1 To-let from:
                                September Rent : 7500 BDT Save Property Add to Compare",Dhaka
"North Badda, Badda",N/A,1,August Rent ,8000,"Sublet Room Rent North Badda, Badda Room: 1, Bath: 1 To-let from:
                                August Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Satarkul, Badda",3,2,September Rent ,19000,"Family Flat Rent Satarkul, Badda",Dhaka
"Shahjadpur, Gulshan",1,1,September Rent ,5200,"Bachelor Room Rent Shahjadpur, Gulshan",Dhaka
"Banasree, Rampura",1,1,September Rent ,4000,"Bachelor Room Rent Banasree, Rampura",Dhaka
"Banasree, Rampura",1,1,September Rent ,7000,"Family House Rent Banasree, Rampura",Dhaka
"Banasree, Rampura",1,1,August Rent ,3200,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"Badda, Dhaka",1,1,August Rent ,5500,"Bachelor Room Rent Badda, Dhaka",Dhaka
"Banasree, Rampura",1,1,September Rent ,3000,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"West Shewrapara, Mirpur",N/A,1,September Rent ,6500,"Sublet Room Rent West Shewrapara, Mirpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka
"Raja Bazar, Tejgaon",1,1,August Rent ,2600,"Bachelor Seat Rent Raja Bazar, Tejgaon",Dhaka
"Mohammadia Housing Society, Mohammadpur",N/A,1,September Rent ,8500,"Sublet Room Rent Mohammadia Housing Society, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 8500 BDT Save Property Add to Compare",Dhaka
"Dhanmondi 15, Dhanmondi",3,2,August Rent ,16000,"Bachelor Flat Rent Dhanmondi 15, Dhanmondi",Dhaka
"Kathalbagan, Kalabagan",1,1,August Rent ,5000,"Bachelor Seat Rent Kathalbagan, Kalabagan",Dhaka
"West Shewrapara, Mirpur",1,1,September Rent ,6500,"Bachelor Room Rent West Shewrapara, Mirpur",Dhaka
"60 Feet Road, Mirpur",1,1,September Rent ,5000,"Bachelor Room Rent 60 Feet Road, Mirpur",Dhaka
"Senpara Parbata, Mirpur",N/A,1,September Rent ,4800,"Sublet Room Rent Senpara Parbata, Mirpur Room: 1, Bath: 1 To-let from:
                                September Rent : 4800 BDT Save Property Add to Compare",Dhaka
"West Shewrapara, Mirpur",1,1,September Rent ,7000,"Bachelor Seat Rent West Shewrapara, Mirpur",Dhaka
"Pirerbag, Mirpur",1,1,October Rent ,8500,"Family Flat Rent Pirerbag, Mirpur",Dhaka
"Dhaka Uddan Housing, Mohammadpur",1,1,September Rent ,8000,"Family Flat Rent Dhaka Uddan Housing, Mohammadpur",Dhaka
"West Dhanmondi, Dhanmondi",1,1,September Rent ,2600,"Bachelor Seat Rent West Dhanmondi, Dhanmondi",Dhaka
"Khilgaon, Dhaka",1,1,August Rent ,2700,"Bachelor Seat Rent Khilgaon, Dhaka",Dhaka
"Banasree, Rampura",1,1,August Rent ,1500,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"Banasree, Rampura",2,2,September Rent ,17000,"Family Flat Rent Banasree, Rampura",Dhaka
"Banasree, Rampura",1,1,August Rent ,2000,"Bachelor Seat Rent Banasree, Rampura",Dhaka
"Nobinbag, Khilgaon",2,2,September Rent ,14000,"Family Flat Rent Nobinbag, Khilgaon",Dhaka
"South Banasree, Rampura",2,2,September Rent ,14000,"Family House Rent South Banasree, Rampura",Dhaka
"Rampura, Dhaka",1,1,September Rent ,6500,"Family House Rent Rampura, Dhaka",Dhaka
"South Banasree, Rampura",1,1,August Rent ,5000,"Bachelor Room Rent South Banasree, Rampura",Dhaka
"Sector 3, Uttara",4,4,September Rent ,85000,"Family Apartment Rent Sector 3, Uttara",Dhaka
"Badda DIT Project, Badda",1,1,August Rent ,4000,"Bachelor Seat Rent Badda DIT Project, Badda",Dhaka
"Merul Badda, Badda",1,1,September Rent ,6000,"Bachelor Room Rent Merul Badda, Badda",Dhaka
"Middle Badda, Badda",N/A,1,August Rent ,7500,"Sublet Room Rent Middle Badda, Badda Room: 1, Bath: 1 To-let from:
                                August Rent : 7500 BDT Save Property Add to Compare",Dhaka
"Rampura, Dhaka",1,1,October Rent ,7000,"Family Room Rent Rampura, Dhaka",Dhaka
"Banani, Dhaka",N/A,2,August Rent ,8000,"Office Floor Rent Banani, Dhaka Room: 5, Bath: 2 To-let from:
                                August Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Raja Bazar, Tejgaon",1,1,August Rent ,3500,"Bachelor Seat Rent Raja Bazar, Tejgaon",Dhaka
"Shangkar, Dhanmondi",1,1,August Rent ,3500,"Bachelor Seat Rent Shangkar, Dhanmondi",Dhaka
"Chad Uddan, Mohammadpur",1,1,August Rent ,6500,"Bachelor Room Rent Chad Uddan, Mohammadpur",Dhaka
"Dhaka Uddan Housing, Mohammadpur",3,3,August Rent ,18000,"Family Flat Rent Dhaka Uddan Housing, Mohammadpur",Dhaka
"Mohammadia Housing Society, Mohammadpur",1,1,September Rent ,1600,"Bachelor Seat Rent Mohammadia Housing Society, Mohammadpur",Dhaka
"Dhaka Uddan Housing, Mohammadpur",4,3,August Rent ,17000,"Family Flat Rent Dhaka Uddan Housing, Mohammadpur",Dhaka
"Dhanmondi 15, Dhanmondi",1,1,September Rent ,3250,"Bachelor Seat Rent Dhanmondi 15, Dhanmondi",Dhaka
"Shukrabad, Tejgaon",1,1,September Rent ,4250,"Bachelor Seat Rent Shukrabad, Tejgaon",Dhaka
"Mohammadia Housing Society, Mohammadpur",2,2,August Rent ,16000,"Family Flat Rent Mohammadia Housing Society, Mohammadpur",Dhaka
"Baitul Aman Housing, Adabor",3,2,August Rent ,21000,"Family Flat Rent Baitul Aman Housing, Adabor",Dhaka
"Segunbagicha, Ramna",1,1,September Rent ,12000,"Family Flat Rent Segunbagicha, Ramna",Dhaka
"Dhaka Uddan Housing, Mohammadpur",2,2,August Rent ,11500,"Family Flat Rent Dhaka Uddan Housing, Mohammadpur",Dhaka
"Kalabagan, Dhaka",1,1,September Rent ,4000,"Bachelor Seat Rent Kalabagan, Dhaka",Dhaka
"Panthapath, Kalabagan",1,1,August Rent ,3000,"Bachelor Seat Rent Panthapath, Kalabagan",Dhaka
"Shantibag, Shahjahanpur",1,1,August Rent ,2600,"Bachelor Seat Rent Shantibag, Shahjahanpur",Dhaka
"Mohammadpur, Dhaka",1,1,August Rent ,2600,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Dhanmondi, Dhaka",1,1,September Rent ,9000,"Bachelor Room Rent Dhanmondi, Dhaka",Dhaka
"Katasur, Mohammadpur",1,1,September Rent ,7500,"Bachelor Room Rent Katasur, Mohammadpur",Dhaka
"Nabi Nagar Housing, Mohammadpur",3,3,August Rent ,16000,"Family Flat Rent Nabi Nagar Housing, Mohammadpur",Dhaka
"Raja Bazar, Tejgaon",1,1,August Rent ,3500,"Bachelor Seat Rent Raja Bazar, Tejgaon",Dhaka
"Mohammadpur, Dhaka",1,1,September Rent ,2333,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka
"Zigatola, Dhanmondi",1,1,August Rent ,3500,"Bachelor Seat Rent Zigatola, Dhanmondi",Dhaka
"Dhanmondi, Dhaka",N/A,1,September Rent ,9000,"Sublet Room Rent Dhanmondi, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 9000 BDT Save Property Add to Compare",Dhaka
"Pirerbag, Mirpur",N/A,1,August Rent ,8000,"Sublet Room Rent Pirerbag, Mirpur Room: 1, Bath: 1 To-let from:
                                August Rent : 8000 BDT Save Property Add to Compare",Dhaka
"Monsurabad, Adabor",1,1,September Rent ,9000,"Family Flat Rent Monsurabad, Adabor",Dhaka
"Bosila, Mohammadpur",2,1,September Rent ,10000,"Family Flat Rent Bosila, Mohammadpur",Dhaka
"Baitul Aman Housing, Adabor",3,3,September Rent ,25000,"Family Flat Rent Baitul Aman Housing, Adabor",Dhaka
