Location,Bed,Bath,To-let From,Rent,Title,Region,Month,SubArea,PropertyType
"Bashundhara R.A, Vatara",0,1,September Rent ,12000,"Sublet Room Rent Bashundhara R.A, Vatara Room: 1, Bath: 1 To-let from:
                                September Rent : 12000 BDT Save Property Add to Compare",Dhaka,9,Bashundhara R.A,Sublet
"Bashundhara R.A, Vatara",1,1,September Rent ,5595,"Bachelor House Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Other
"Banasree, Rampura",1,1,September Rent ,20000,"Family House Rent Banasree, Rampura",Dhaka,9,Banasree,Family
"Mohakhali, Gulshan",1,1,September Rent ,7400,"Bachelor Room Rent Mohakhali, Gulshan",Dhaka,9,Mohakhali,Bachelor Room
"Shah Ali, Dhaka",1,1,September Rent ,3500,"Bachelor Seat Rent Shah Ali, Dhaka",Dhaka,9,Shah Ali,Bachelor Seat
"Mirpur 1, Mirpur",1,1,September Rent ,2250,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Badda, Dhaka",0,1,September Rent ,9500,"Sublet Room Rent Badda, Dhaka Room: 2, Bath: 1 To-let from:
                                September Rent : 9500 BDT Save Property Add to Compare",Dhaka,9,Badda,Sublet
"Azampur, Uttara",1,1,September Rent ,2500,"Bachelor Seat Rent Azampur, Uttara",Dhaka,9,Azampur,Bachelor Seat
"Sector 11, Uttara",1,1,October Rent ,4200,"Bachelor Seat Rent Sector 11, Uttara",Dhaka,10,Sector 11,Bachelor Seat
"Sector 9, Uttara",1,1,September Rent ,4000,"Bachelor Seat Rent Sector 9, Uttara",Dhaka,9,Sector 9,Bachelor Seat
"House Building, Uttara",1,1,September Rent ,2350,"Bachelor Seat Rent House Building, Uttara",Dhaka,9,House Building,Bachelor Seat
"Mirpur, Dhaka",0,1,September Rent ,7000,"Sublet Room Rent Mirpur, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 7000 BDT Save Property Add to Compare",Dhaka,9,Mirpur,Sublet
"Mirpur 1, Mirpur",1,1,October Rent ,1700,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,10,Mirpur 1,Bachelor Seat
"Mirpur 12, Mirpur",1,1,September Rent ,3500,"Bachelor Room Rent Mirpur 12, Mirpur",Dhaka,9,Mirpur 12,Bachelor Room
"Mirpur 12, Mirpur",0,1,October Rent ,7500,"Sublet Room Rent Mirpur 12, Mirpur Room: 1, Bath: 1 To-let from:
                                October Rent : 7500 BDT Save Property Add to Compare",Dhaka,10,Mirpur 12,Sublet
"Nabi Nagar Housing, Mohammadpur",2,1,September Rent ,10000,"Family Flat Rent Nabi Nagar Housing, Mohammadpur",Dhaka,9,Nabi Nagar Housing,Family
"Bashundhara R.A, Vatara",1,1,October Rent ,13000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,10,Bashundhara R.A,Bachelor Room
"Mirpur 1, Mirpur",1,1,September Rent ,2250,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Shewrapara, Mirpur",1,1,September Rent ,3500,"Bachelor Seat Rent Shewrapara, Mirpur",Dhaka,9,Shewrapara,Bachelor Seat
"Mirpur 1, Mirpur",1,1,September Rent ,2500,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Chad Uddan, Mohammadpur",0,1,September Rent ,6500,"Sublet Room Rent Chad Uddan, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka,9,Chad Uddan,Sublet
"Mirpur 1, Mirpur",1,1,September Rent ,2975,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Bashundhara R.A, Vatara",1,1,September Rent ,9000,"Bachelor Seat Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Bachelor Seat
"Bashundhara R.A, Vatara",1,1,September Rent ,10000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Bachelor Room
"Kuril, Vatara",1,1,October Rent ,7500,"Bachelor Room Rent Kuril, Vatara",Dhaka,10,Kuril,Bachelor Room
"Mohammadpur, Dhaka",1,1,October Rent ,5500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,10,Mohammadpur,Bachelor Seat
"Keraniganj, Dhaka",1,1,October Rent ,4000,"Family House Rent Keraniganj, Dhaka",Dhaka,10,Keraniganj,Family
"Kaderabad Housing Society, Mohammadpur",1,1,September Rent ,3500,"Bachelor Seat Rent Kaderabad Housing Society, Mohammadpur",Dhaka,9,Kaderabad Housing Society,Bachelor Seat
"Noboudoy Housing, Mohammadpur",1,1,October Rent ,6000,"Bachelor Room Rent Noboudoy Housing, Mohammadpur",Dhaka,10,Noboudoy Housing,Bachelor Room
"Shekhertek, Mohammadpur",1,1,September Rent ,4500,"Bachelor Seat Rent Shekhertek, Mohammadpur",Dhaka,9,Shekhertek,Bachelor Seat
"Bosila, Mohammadpur",0,1,September Rent ,8000,"Sublet Room Rent Bosila, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka,9,Bosila,Sublet
"Jafrabad, Mohammadpur",1,1,September Rent ,3800,"Bachelor Seat Rent Jafrabad, Mohammadpur",Dhaka,9,Jafrabad,Bachelor Seat
"Matuail, Jatrabari",1,1,September Rent ,4000,"Bachelor Room Rent Matuail, Jatrabari",Dhaka,9,Matuail,Bachelor Room
"Mirpur 1, Mirpur",2,2,September Rent ,12500,"Family Flat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Family
"Mirpur 1, Mirpur",1,1,October Rent ,2850,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,10,Mirpur 1,Bachelor Seat
"Mirpur 1, Mirpur",1,1,September Rent ,4500,"Bachelor Room Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Room
"Mirpur 6, Mirpur",1,1,September Rent ,2000,"Bachelor Seat Rent Mirpur 6, Mirpur",Dhaka,9,Mirpur 6,Bachelor Seat
"Mirpur 1, Mirpur",1,1,September Rent ,2800,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Rupnagar, Mirpur",0,1,September Rent ,8000,"Sublet Room Rent Rupnagar, Mirpur Room: 1, Bath: 1 To-let from:
                                September Rent : 8000 BDT Save Property Add to Compare",Dhaka,9,Rupnagar,Sublet
"Shewrapara, Mirpur",1,1,October Rent ,8500,"Bachelor Room Rent Shewrapara, Mirpur",Dhaka,10,Shewrapara,Bachelor Room
"Mirpur, Dhaka",0,1,September Rent ,7500,"Sublet Room Rent Mirpur, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 7500 BDT Save Property Add to Compare",Dhaka,9,Mirpur,Sublet
"Malibag, Shahjahanpur",1,1,September Rent ,4500,"Bachelor Seat Rent Malibag, Shahjahanpur",Dhaka,9,Malibag,Bachelor Seat
"Shantinagar, Paltan",1,1,October Rent ,3500,"Bachelor Seat Rent Shantinagar, Paltan",Dhaka,10,Shantinagar,Bachelor Seat
"Master Bari, Uttarkhan",2,2,September Rent ,10000,"Family Flat Rent Master Bari, Uttarkhan",Dhaka,9,Master Bari,Family
"Mohammadpur, Dhaka",1,1,September Rent ,2500,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"West Shewrapara, Mirpur",1,1,September Rent ,3000,"Bachelor Seat Rent West Shewrapara, Mirpur",Dhaka,9,West Shewrapara,Bachelor Seat
"Azimpur, Lalbag",1,1,September Rent ,1850,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"Azimpur, Lalbag",1,1,September Rent ,2000,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"Lalbag, Dhaka",1,1,September Rent ,2500,"Bachelor Seat Rent Lalbag, Dhaka",Dhaka,9,Lalbag,Bachelor Seat
"Azimpur, Lalbag",1,1,September Rent ,3750,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"Hazaribag, Dhaka",1,1,September Rent ,2200,"Bachelor Seat Rent Hazaribag, Dhaka",Dhaka,9,Hazaribag,Bachelor Seat
"Manda, Mugda",2,2,October Rent ,11000,"Family House Rent Manda, Mugda",Dhaka,10,Manda,Family
"Gulshan 1, Gulshan",0,1,September Rent ,13500,"Sublet Room Rent Gulshan 1, Gulshan Room: 1, Bath: 1 To-let from:
                                September Rent : 13500 BDT Save Property Add to Compare",Dhaka,9,Gulshan 1,Sublet
"Bashundhara R.A, Vatara",1,1,October Rent ,15000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,10,Bashundhara R.A,Bachelor Room
"Savar, Dhaka",1,1,September Rent ,2800,"Family Room Rent Savar, Dhaka",Dhaka,9,Savar,Family
"Sector 10, Uttara",3,2,October Rent ,22500,"Family House Rent Sector 10, Uttara",Dhaka,10,Sector 10,Family
"Matuail, Jatrabari",1,1,September Rent ,4000,"Family House Rent Matuail, Jatrabari",Dhaka,9,Matuail,Family
"Zigatola, Dhanmondi",1,1,September Rent ,5000,"Bachelor Flat Rent Zigatola, Dhanmondi",Dhaka,9,Zigatola,Flat
"Gulshan, Dhaka",1,1,September Rent ,4000,"Bachelor Room Rent Gulshan, Dhaka",Dhaka,9,Gulshan,Bachelor Room
"Malibag, Shahjahanpur",3,2,September Rent ,25000,"Family Flat Rent Malibag, Shahjahanpur",Dhaka,9,Malibag,Family
"East Rampura, Rampura",1,1,October Rent ,3000,"Bachelor Seat Rent East Rampura, Rampura",Dhaka,10,East Rampura,Bachelor Seat
"Azimpur, Lalbag",1,1,September Rent ,3000,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"Uttara, Dhaka",1,1,September Rent ,2500,"Bachelor Seat Rent Uttara, Dhaka",Dhaka,9,Uttara,Bachelor Seat
"Mohakhali, Gulshan",1,1,September Rent ,4000,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka,9,Mohakhali,Bachelor Seat
"Azimpur, Lalbag",1,1,October Rent ,4500,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,10,Azimpur,Bachelor Seat
"Mohakhali, Gulshan",1,1,September Rent ,3220,"Bachelor Seat Rent Mohakhali, Gulshan",Dhaka,9,Mohakhali,Bachelor Seat
"Hazaribag, Dhaka",1,1,September Rent ,2200,"Bachelor Seat Rent Hazaribag, Dhaka",Dhaka,9,Hazaribag,Bachelor Seat
"Badda, Dhaka",1,1,September Rent ,4500,"Bachelor Seat Rent Badda, Dhaka",Dhaka,9,Badda,Bachelor Seat
"West Shewrapara, Mirpur",1,1,September Rent ,7000,"Bachelor Seat Rent West Shewrapara, Mirpur",Dhaka,9,West Shewrapara,Bachelor Seat
"North Badda, Badda",1,1,October Rent ,9500,"Family Flat Rent North Badda, Badda",Dhaka,10,North Badda,Family
"Pallabi, Mirpur",3,4,September Rent ,24000,"Family Flat Rent Pallabi, Mirpur",Dhaka,9,Pallabi,Family
"Kuril, Vatara",1,1,September Rent ,4050,"Bachelor Seat Rent Kuril, Vatara",Dhaka,9,Kuril,Bachelor Seat
"Mugda, Dhaka",0,1,September Rent ,4500,"Sublet Room Rent Mugda, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 4500 BDT Save Property Add to Compare",Dhaka,9,Mugda,Sublet
"Mirpur 14, Mirpur",2,2,September Rent ,20000,"Family House Rent Mirpur 14, Mirpur",Dhaka,9,Mirpur 14,Family
"Dhanmondi, Dhaka",2,1,September Rent ,15500,"Family House Rent Dhanmondi, Dhaka",Dhaka,9,Dhanmondi,Family
"Khilgaon, Dhaka",0,1,September Rent ,6000,"Sublet Room Rent Khilgaon, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka,9,Khilgaon,Sublet
"Maniknagar, Mugda",2,1,October Rent ,7000,"Family Flat Rent Maniknagar, Mugda",Dhaka,10,Maniknagar,Family
"Tilpapara, Khilgaon",2,2,September Rent ,13500,"Bachelor Flat Rent Tilpapara, Khilgaon",Dhaka,9,Tilpapara,Flat
"Uttarpara, Khilkhet",2,2,October Rent ,13000,"Family House Rent Uttarpara, Khilkhet",Dhaka,10,Uttarpara,Family
"Dhanmondi, Dhaka",1,1,September Rent ,12000,"Bachelor Room Rent Dhanmondi, Dhaka",Dhaka,9,Dhanmondi,Bachelor Room
"Shonir Akhra, Jatrabari",3,2,September Rent ,12000,"Family Flat Rent Shonir Akhra, Jatrabari",Dhaka,9,Shonir Akhra,Family
"Faydabad, Daskhinkhan",0,1,September Rent ,6000,"Sublet Room Rent Faydabad, Daskhinkhan Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka,9,Faydabad,Sublet
"Mirpur 1, Mirpur",1,1,September Rent ,6000,"Bachelor Room Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Room
"Kochukhet, Kafrul",1,1,September Rent ,3500,"Bachelor Seat Rent Kochukhet, Kafrul",Dhaka,9,Kochukhet,Bachelor Seat
"Mirpur 6, Mirpur",1,1,September Rent ,1500,"Bachelor Seat Rent Mirpur 6, Mirpur",Dhaka,9,Mirpur 6,Bachelor Seat
"Mirpur 10, Mirpur",1,1,September Rent ,3080,"Bachelor Seat Rent Mirpur 10, Mirpur",Dhaka,9,Mirpur 10,Bachelor Seat
"Mirpur 1, Mirpur",1,1,September Rent ,2800,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Mirpur 11, Mirpur",3,3,September Rent ,20000,"Family Flat Rent Mirpur 11, Mirpur",Dhaka,9,Mirpur 11,Family
"Mirpur 13, Mirpur",1,1,September Rent ,4000,"Bachelor Seat Rent Mirpur 13, Mirpur",Dhaka,9,Mirpur 13,Bachelor Seat
"Mirpur, Dhaka",1,1,September Rent ,2060,"Bachelor Seat Rent Mirpur, Dhaka",Dhaka,9,Mirpur,Bachelor Seat
"Paikpara, Mirpur",1,1,September Rent ,5000,"Bachelor Room Rent Paikpara, Mirpur",Dhaka,9,Paikpara,Bachelor Room
"Adabor, Dhaka",3,1,September Rent ,15000,"Family Flat Rent Adabor, Dhaka",Dhaka,9,Adabor,Family
"Mohammadia Housing Society, Mohammadpur",1,1,September Rent ,2350,"Bachelor Seat Rent Mohammadia Housing Society, Mohammadpur",Dhaka,9,Mohammadia Housing Society,Bachelor Seat
"Mohammadpur, Dhaka",1,1,September Rent ,3350,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Shekhertek, Mohammadpur",1,1,September Rent ,1800,"Bachelor Seat Rent Shekhertek, Mohammadpur",Dhaka,9,Shekhertek,Bachelor Seat
"Dhaka Uddan Housing, Mohammadpur",0,1,September Rent ,4500,"Sublet Room Rent Dhaka Uddan Housing, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 4500 BDT Save Property Add to Compare",Dhaka,9,Dhaka Uddan Housing,Sublet
"West Dhanmondi, Dhanmondi",0,1,September Rent ,6600,"Sublet Room Rent West Dhanmondi, Dhanmondi Room: 1, Bath: 1 To-let from:
                                September Rent : 6600 BDT Save Property Add to Compare",Dhaka,9,West Dhanmondi,Sublet
"Mohammadia Housing Society, Mohammadpur",1,1,October Rent ,4600,"Bachelor Room Rent Mohammadia Housing Society, Mohammadpur",Dhaka,10,Mohammadia Housing Society,Bachelor Room
"Mohammadia Housing Society, Mohammadpur",3,2,September Rent ,22000,"Family Flat Rent Mohammadia Housing Society, Mohammadpur",Dhaka,9,Mohammadia Housing Society,Family
"Mohammadpur, Dhaka",1,1,September Rent ,3150,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Chandrima Model Town, Mohammadpur",3,4,September Rent ,15500,"Family House Rent Chandrima Model Town, Mohammadpur",Dhaka,9,Chandrima Model Town,Family
"Baitul Aman Housing, Adabor",3,2,September Rent ,21000,"Family Flat Rent Baitul Aman Housing, Adabor",Dhaka,9,Baitul Aman Housing,Family
"Shekhertek, Mohammadpur",1,1,September Rent ,2500,"Bachelor Seat Rent Shekhertek, Mohammadpur",Dhaka,9,Shekhertek,Bachelor Seat
"Bosila, Mohammadpur",1,1,September Rent ,2500,"Bachelor Seat Rent Bosila, Mohammadpur",Dhaka,9,Bosila,Bachelor Seat
"Kaderabad Housing Society, Mohammadpur",0,1,September Rent ,7000,"Sublet Room Rent Kaderabad Housing Society, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 7000 BDT Save Property Add to Compare",Dhaka,9,Kaderabad Housing Society,Sublet
"Mohammadpur, Dhaka",1,1,September Rent ,3800,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Mohammadpur, Dhaka",3,3,September Rent ,40000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Bosila, Mohammadpur",3,2,September Rent ,11500,"Family Flat Rent Bosila, Mohammadpur",Dhaka,9,Bosila,Family
"Bosila, Mohammadpur",0,1,September Rent ,4000,"Sublet Room Rent Bosila, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 4000 BDT Save Property Add to Compare",Dhaka,9,Bosila,Sublet
"Mohammadpur, Dhaka",3,3,September Rent ,22000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Mohammadpur, Dhaka",3,3,September Rent ,40000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Mohammadpur, Dhaka",3,3,September Rent ,18000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Kaderabad Housing Society, Mohammadpur",1,1,September Rent ,2800,"Bachelor Seat Rent Kaderabad Housing Society, Mohammadpur",Dhaka,9,Kaderabad Housing Society,Bachelor Seat
"Shewrapara, Mirpur",1,1,September Rent ,1000,"Bachelor Seat Rent Shewrapara, Mirpur",Dhaka,9,Shewrapara,Bachelor Seat
"Shahjahanpur, Dhaka",1,1,September Rent ,3200,"Bachelor Seat Rent Shahjahanpur, Dhaka",Dhaka,9,Shahjahanpur,Bachelor Seat
"Zigatola, Dhanmondi",1,1,September Rent ,3100,"Bachelor Seat Rent Zigatola, Dhanmondi",Dhaka,9,Zigatola,Bachelor Seat
"Nikunja 2, Khilkhet",1,1,September Rent ,4700,"Bachelor Seat Rent Nikunja 2, Khilkhet",Dhaka,9,Nikunja 2,Bachelor Seat
"Airport, Dhaka",1,1,September Rent ,5000,"Family House Rent Airport, Dhaka",Dhaka,9,Airport,Family
"Khilkhet, Dhaka",1,1,September Rent ,3500,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka,9,Khilkhet,Bachelor Seat
"Mohammadpur, Dhaka",2,2,September Rent ,13000,"Family Flat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Family
"Mirpur DOHS, Mirpur",3,3,September Rent ,38000,"Family House Rent Mirpur DOHS, Mirpur",Dhaka,9,Mirpur DOHS,Family
"Sector 14, Uttara",0,1,September Rent ,6500,"Sublet Room Rent Sector 14, Uttara Room: 1, Bath: 1 To-let from:
                                September Rent : 6500 BDT Save Property Add to Compare",Dhaka,9,Sector 14,Sublet
"North Badda, Badda",1,1,September Rent ,2300,"Bachelor Seat Rent North Badda, Badda",Dhaka,9,North Badda,Bachelor Seat
"Bakshibazar, Lalbag",1,1,September Rent ,3300,"Bachelor Seat Rent Bakshibazar, Lalbag",Dhaka,9,Bakshibazar,Bachelor Seat
"Jatrabari, Dhaka",1,1,September Rent ,6500,"Bachelor House Rent Jatrabari, Dhaka",Dhaka,9,Jatrabari,Other
"Bashundhara R.A, Vatara",1,1,September Rent ,11500,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Bachelor Room
"Uttara, Dhaka",1,1,September Rent ,4700,"Bachelor Seat Rent Uttara, Dhaka",Dhaka,9,Uttara,Bachelor Seat
"Bashundhara R.A, Vatara",1,1,September Rent ,11000,"Bachelor Room Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Bachelor Room
"Chandrima Model Town, Mohammadpur",3,3,September Rent ,15000,"Family Flat Rent Chandrima Model Town, Mohammadpur",Dhaka,9,Chandrima Model Town,Family
"Mirpur 13, Mirpur",1,1,September Rent ,4250,"Bachelor Seat Rent Mirpur 13, Mirpur",Dhaka,9,Mirpur 13,Bachelor Seat
"Madartek, Khilgaon",3,3,September Rent ,17000,"Family House Rent Madartek, Khilgaon",Dhaka,9,Madartek,Family
"Dhanmondi, Dhaka",1,1,September Rent ,8500,"Bachelor Room Rent Dhanmondi, Dhaka",Dhaka,9,Dhanmondi,Bachelor Room
"Shonir Akhra, Jatrabari",2,2,September Rent ,15500,"Family House Rent Shonir Akhra, Jatrabari",Dhaka,9,Shonir Akhra,Family
"Jannatbag, Mugda",0,1,September Rent ,4900,"Sublet Room Rent Jannatbag, Mugda Room: 1, Bath: 1 To-let from:
                                September Rent : 4900 BDT Save Property Add to Compare",Dhaka,9,Jannatbag,Sublet
"Jatrabari, Dhaka",2,1,September Rent ,6500,"Family House Rent Jatrabari, Dhaka",Dhaka,9,Jatrabari,Family
"Matuail, Jatrabari",3,2,September Rent ,9000,"Family Flat Rent Matuail, Jatrabari",Dhaka,9,Matuail,Family
"Shonir Akhra, Jatrabari",2,1,September Rent ,7000,"Bachelor Flat Rent Shonir Akhra, Jatrabari",Dhaka,9,Shonir Akhra,Flat
"Jatrabari, Dhaka",1,1,September Rent ,1600,"Bachelor Seat Rent Jatrabari, Dhaka",Dhaka,9,Jatrabari,Bachelor Seat
"Dania, Jatrabari",2,1,September Rent ,7500,"Family House Rent Dania, Jatrabari",Dhaka,9,Dania,Family
"Chandrima Model Town, Mohammadpur",0,1,September Rent ,6000,"Sublet Room Rent Chandrima Model Town, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka,9,Chandrima Model Town,Sublet
"Sector 18, Uttara",1,1,September Rent ,8000,"Bachelor Room Rent Sector 18, Uttara",Dhaka,9,Sector 18,Bachelor Room
"Shonir Akhra, Jatrabari",0,1,September Rent ,4500,"Sublet Room Rent Shonir Akhra, Jatrabari Room: 1, Bath: 1 To-let from:
                                September Rent : 4500 BDT Save Property Add to Compare",Dhaka,9,Shonir Akhra,Sublet
"Shonir Akhra, Jatrabari",4,1,October Rent ,7500,"Family Flat Rent Shonir Akhra, Jatrabari",Dhaka,10,Shonir Akhra,Family
"Meraj Nagar, Shyampur",2,1,November Rent ,8500,"Family Flat Rent Meraj Nagar, Shyampur",Dhaka,11,Meraj Nagar,Family
"Shonir Akhra, Jatrabari",2,1,September Rent ,8000,"Family House Rent Shonir Akhra, Jatrabari",Dhaka,9,Shonir Akhra,Family
"Rayerbag, Jatrabari",2,1,September Rent ,7000,"Family Flat Rent Rayerbag, Jatrabari",Dhaka,9,Rayerbag,Family
"Kawlar, Daskhinkhan",2,2,September Rent ,11000,"Family House Rent Kawlar, Daskhinkhan",Dhaka,9,Kawlar,Family
"Mirpur 12, Mirpur",1,1,September Rent ,2800,"Bachelor Seat Rent Mirpur 12, Mirpur",Dhaka,9,Mirpur 12,Bachelor Seat
"Mirpur 1, Mirpur",1,1,September Rent ,2100,"Bachelor Seat Rent Mirpur 1, Mirpur",Dhaka,9,Mirpur 1,Bachelor Seat
"Cantonment, Dhaka",3,3,September Rent ,15000,"Family Flat Rent Cantonment, Dhaka",Dhaka,9,Cantonment,Family
"Mirpur, Dhaka",3,4,September Rent ,25000,"Family Flat Rent Mirpur, Dhaka",Dhaka,9,Mirpur,Family
"Mirpur 1, Mirpur",0,1,September Rent ,6000,"Sublet Room Rent Mirpur 1, Mirpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka,9,Mirpur 1,Sublet
"Master Bari, Uttarkhan",3,3,September Rent ,17000,"Family Flat Rent Master Bari, Uttarkhan",Dhaka,9,Master Bari,Family
"Sector 4, Uttara",3,3,September Rent ,35000,"Family Flat Rent Sector 4, Uttara",Dhaka,9,Sector 4,Family
"Matuail, Jatrabari",0,1,September Rent ,4000,"Sublet Room Rent Matuail, Jatrabari Room: 1, Bath: 1 To-let from:
                                September Rent : 4000 BDT Save Property Add to Compare",Dhaka,9,Matuail,Sublet
"Shonir Akhra, Jatrabari",0,1,September Rent ,4000,"Sublet Room Rent Shonir Akhra, Jatrabari Room: 1, Bath: 1 To-let from:
                                September Rent : 4000 BDT Save Property Add to Compare",Dhaka,9,Shonir Akhra,Sublet
"Chandrima Model Town, Mohammadpur",3,3,September Rent ,18000,"Family Flat Rent Chandrima Model Town, Mohammadpur",Dhaka,9,Chandrima Model Town,Family
"Dhaka Uddan Housing, Mohammadpur",4,3,September Rent ,17000,"Family Flat Rent Dhaka Uddan Housing, Mohammadpur",Dhaka,9,Dhaka Uddan Housing,Family
"Nawabganj, Lalbag",1,1,September Rent ,3000,"Bachelor Seat Rent Nawabganj, Lalbag",Dhaka,9,Nawabganj,Bachelor Seat
"West Shewrapara, Mirpur",1,1,September Rent ,1500,"Bachelor Seat Rent West Shewrapara, Mirpur",Dhaka,9,West Shewrapara,Bachelor Seat
"Azimpur, Lalbag",1,1,September Rent ,2530,"Bachelor Seat Rent Azimpur, Lalbag",Dhaka,9,Azimpur,Bachelor Seat
"40 Feet, Mohammadpur",0,1,September Rent ,6000,"Sublet Room Rent 40 Feet, Mohammadpur Room: 1, Bath: 1 To-let from:
                                September Rent : 6000 BDT Save Property Add to Compare",Dhaka,9,40 Feet,Sublet
"Namapara, Khilkhet",2,2,September Rent ,12000,"Family House Rent Namapara, Khilkhet",Dhaka,9,Namapara,Family
"Khilkhet, Dhaka",1,1,September Rent ,1800,"Bachelor Seat Rent Khilkhet, Dhaka",Dhaka,9,Khilkhet,Bachelor Seat
"Bashundhara R.A, Vatara",3,4,September Rent ,34000,"Family Flat Rent Bashundhara R.A, Vatara",Dhaka,9,Bashundhara R.A,Family
"Savar, Dhaka",0,1,September Rent ,4000,"Sublet Room Rent Savar, Dhaka Room: 1, Bath: 1 To-let from:
                                September Rent : 4000 BDT Save Property Add to Compare",Dhaka,9,Savar,Sublet
"Savar, Dhaka",1,1,September Rent ,1750,"Bachelor Seat Rent Savar, Dhaka",Dhaka,9,Savar,Bachelor Seat
"Savar, Dhaka",3,2,September Rent ,10000,"Family Flat Rent Savar, Dhaka",Dhaka,9,Savar,Family
"Savar, Dhaka",2,1,October Rent ,6500,"Family Flat Rent Savar, Dhaka",Dhaka,10,Savar,Family
"Imandipur, Savar",0,1,September Rent ,5500,"Sublet Room Rent Imandipur, Savar Room: 1, Bath: 1 To-let from:
                                September Rent : 5500 BDT Save Property Add to Compare",Dhaka,9,Imandipur,Sublet
"Shahibagh, Savar",1,1,September Rent ,5500,"Family Flat Rent Shahibagh, Savar",Dhaka,9,Shahibagh,Family
"Mohammadpur, Dhaka",1,1,September Rent ,2200,"Bachelor Seat Rent Mohammadpur, Dhaka",Dhaka,9,Mohammadpur,Bachelor Seat
"Dhanmondi, Dhaka",1,1,September Rent ,3300,"Bachelor Seat Rent Dhanmondi, Dhaka",Dhaka,9,Dhanmondi,Bachelor Seat
"Bosila, Mohammadpur",2,1,September Rent ,10000,"Family Flat Rent Bosila, Mohammadpur",Dhaka,9,Bosila,Family
"Bosila, Mohammadpur",3,3,September Rent ,15000,"Family Flat Rent Bosila, Mohammadpur",Dhaka,9,Bosila,Family
